species,scientific_name
silk snapper,Lutjanus vivanus
queen snapper,Etelis oculatus
mutton snapper,Lutjanus analis
yellowtail snapper,Ocyurus chrysurus
lane snapper,Lutjanus synagris
Nassau grouper,Epinephelus striatus
red hind,Epinephelus guttatus
yellowfin grouper,Mycteroperca venenosa
red grouper,Epinephelus morio
misty grouper,Hyporthodus mystacinus
stoplight parrotfish,Sparisoma viride
rainbow parrotfish,Scarus guacamaia
queen triggerfish,Balistes vetula
Gray angelfish,Pomacanthus arcuatus
hogfish,Lachnolaimus maximus
king mackerel,Scomberomorus cavalla
blue runner,Caranx crysos
queen conch,Aliger gigas
sea cucumbers,Holothuria mexicana
long spined sea urchin,Diadema antillarum
dolphinfish,Coryphaena hippurus
spiny lobster,Panulirus argus
Atlantic thread herring,Opisthonema oglinum
ballyhoo,Hemiramphus brasiliensis
white mullet,Mugil curema
